_id,age,Aggregated_Date,BMNH,By Catch,CBRU,Comb_other_ref,Comment,Common Name ,Condition,Count,Country Code,County,Date,Day_val,Entered,Fam_Genus,GRef Source,Grid ref,in Collections,JBaker,Latitude,Length Approx,Length et,Length Imp,Length Imp_,Length_Approx,Length_Met,lett,Location,Longitude,Mass_Single,MCS,Month_val,Old County,Other,Other refs,Rect_CoNAord_,Rep_Source,S_W_No,S_W_No_,Scientific Name ,Scientific name ,sequ,Sex,Spec_No,Spec_No_,species,Updated,year,Year_val
7312,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3889,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2053,,melaena,23-Dec-08,1950,1950
7305,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3882,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2046,,melaena,23-Dec-08,1950,1950
7275,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3852,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2016,,melaena,23-Dec-08,1950,1950
7293,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3870,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2034,,melaena,23-Dec-08,1950,1950
6992,NA,19470411,ZK0085,NA,NA,NA,Common Porpoise,Harbour porpoise,NA,2154,1,Yorkshire,11/04/1947,11,02-Nov-90,Phocoena,NA,TA343286,NA,NA,53.7368,No,1.42,4'8'',,,,NA,Withernsea,0.036,S,ZK0085,4,NA,NA,NA,NA,NA,1947/6,,Phocoena phocoena,,6,NA,1733,,phocoena,23-Dec-08,1947,1947
7319,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3896,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2060,,melaena,23-Dec-08,1950,1950
7306,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3883,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2047,,melaena,23-Dec-08,1950,1950
7276,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3853,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2017,,melaena,23-Dec-08,1950,1950
7297,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3874,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2038,,melaena,23-Dec-08,1950,1950
6995,NA,19470527,ZK0132,NA,NA,NA,Lesser Rorqual,Minke whale,NA,396,4,"Antrim, N.Ireland",27/05/1947,27,02-Nov-90,Balaenoptera,NA,NA,NA,NA,54.7545,No,8.32,27'3.5'',,,,NA,"Whitehead, Belfast",-5.7056,S,ZK0132,5,NA,NA,NA,NA,NA,1947/9,,Balaenoptera acutorostrata,,9,NA,1736,,acutorostrata,23-Dec-08,1947,1947
7321,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3898,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2062,,melaena,23-Dec-08,1950,1950
7308,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3885,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2049,,melaena,23-Dec-08,1950,1950
